problem_id,title,difficulty,tags,text
prob-arrays-two-sum,Two Sum,Easy,Arrays Uber Salesforce,"Two Sum Arrays Uber Salesforce Given an array of integers `nums` and an integer `target`, return the indices of the two numbers such that they add up to `target`. You may assume that each input would have exactly one solution. Easy"
prob-arrays-best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,Arrays Google Salesforce Intel,Best Time to Buy and Sell Stock Arrays Google Salesforce Intel You are given an array `prices` where `prices[i]` is the price of a given stock on the `i`-th day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Easy
prob-arrays-3sum,3Sum,Medium,Arrays Twitter Microsoft,"3Sum Arrays Twitter Microsoft Given an array `nums` of `n` integers, find all unique triplets `[a, b, c]` in the array such that `a + b + c = 0`. Medium"
prob-strings-valid-palindrome,Valid Palindrome,Easy,Strings Square,"Valid Palindrome Strings Square Given a string `s`, determine if it is a palindrome, considering only alphanumeric characters and ignoring cases. Easy"
prob-strings-valid-anagram,Valid Anagram,Easy,Strings Google Microsoft Airbnb,"Valid Anagram Strings Google Microsoft Airbnb Given two strings `s` and `t`, return `true` if `t` is an anagram of `s`, and `false` otherwise. Easy"
prob-strings-longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,Strings Meta Lyft,"Longest Substring Without Repeating Characters Strings Meta Lyft Given a string `s`, find the length of the longest substring without repeating characters. Medium"
prob-linkedLists-reverse-linked-list,Reverse Linked List,Easy,Linked Lists PayPal Microsoft Goldman Sachs,Reverse Linked List Linked Lists PayPal Microsoft Goldman Sachs Reverse a singly linked list. Return space-separated values of the reversed list. Easy
prob-linkedLists-merge-two-sorted-lists,Merge Two Sorted Lists,Easy,Linked Lists Amazon Atlassian,Merge Two Sorted Lists Linked Lists Amazon Atlassian Merge two sorted linked lists and return it as a sorted list. Easy
prob-linkedLists-add-two-numbers,Add Two Numbers,Medium,Linked Lists Intel Meta Uber,Add Two Numbers Linked Lists Intel Meta Uber Add two numbers represented as linked lists. Medium
prob-stacks-valid-parentheses,Valid Parentheses,Easy,Stacks Atlassian Adobe,Valid Parentheses Stacks Atlassian Adobe Determine if braces configuration is correct. Easy
prob-stacks-evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,Stacks Atlassian,Evaluate Reverse Polish Notation Stacks Atlassian Evaluate RPN expression. Medium
prob-stacks-largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,Stacks Bloomberg,Largest Rectangle in Histogram Stacks Bloomberg Find maximum rectangle area in histogram. Hard
prob-queues-implement-queue-using-stacks,Implement Queue using Stacks,Easy,Queues Amazon Airbnb Google,Implement Queue using Stacks Queues Amazon Airbnb Google Implement a first-in first-out (FIFO) queue using only two stacks. Easy
prob-queues-design-circular-queue,Design Circular Queue,Medium,Queues Twitter Atlassian,Design Circular Queue Queues Twitter Atlassian Design circular buffer FIFO queue. Medium
prob-queues-sliding-window-maximum,Sliding Window Maximum,Hard,Queues Oracle Microsoft Cisco,Sliding Window Maximum Queues Oracle Microsoft Cisco Sliding window max on array sizes k. Hard
prob-hashing-contains-duplicate,Contains Duplicate,Easy,Hashing Salesforce,Contains Duplicate Hashing Salesforce Check if array contains duplicates. Easy
prob-hashing-intersection-of-two-arrays,Intersection of Two Arrays,Easy,Hashing Oracle Goldman Sachs Uber,Intersection of Two Arrays Hashing Oracle Goldman Sachs Uber Find intersection of two arrays. Easy
prob-hashing-longest-consecutive-sequence,Longest Consecutive Sequence,Medium,Hashing Cisco Meta ByteDance,Longest Consecutive Sequence Hashing Cisco Meta ByteDance Find longest consecutive elements sequence length. Medium
prob-trees-invert-binary-tree,Invert Binary Tree,Easy,Trees Oracle,Invert Binary Tree Trees Oracle Invert binary tree nodes. Easy
prob-trees-same-tree,Same Tree,Easy,Trees Bloomberg,Same Tree Trees Bloomberg Verify if two binary trees are same. Easy
prob-trees-binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,Trees Twitter Salesforce Amazon,Binary Tree Level Order Traversal Trees Twitter Salesforce Amazon Level order traversal. Medium
prob-bst-sample-easy-bst,Sample Easy BST,Easy,Binary Search Trees Cisco Oracle Meta,"Sample Easy BST Binary Search Trees Cisco Oracle Meta Given input data, solve this Easy algorithm challenge for bst. Easy"
prob-bst-sample-medium-bst,Sample Medium BST,Medium,Binary Search Trees Salesforce Square Goldman Sachs,"Sample Medium BST Binary Search Trees Salesforce Square Goldman Sachs Given input data, solve this Medium algorithm challenge for bst. Medium"
prob-bst-sample-hard-bst,Sample Hard BST,Hard,Binary Search Trees Salesforce Adobe Square,"Sample Hard BST Binary Search Trees Salesforce Adobe Square Given input data, solve this Hard algorithm challenge for bst. Hard"
prob-heaps-sample-easy-heaps,Sample Easy HEAPS,Easy,Heaps Twitter,"Sample Easy HEAPS Heaps Twitter Given input data, solve this Easy algorithm challenge for heaps. Easy"
prob-heaps-sample-medium-heaps,Sample Medium HEAPS,Medium,Heaps Stripe Twitter,"Sample Medium HEAPS Heaps Stripe Twitter Given input data, solve this Medium algorithm challenge for heaps. Medium"
prob-heaps-sample-hard-heaps,Sample Hard HEAPS,Hard,Heaps Google Lyft,"Sample Hard HEAPS Heaps Google Lyft Given input data, solve this Hard algorithm challenge for heaps. Hard"
prob-graphs-sample-easy-graphs,Sample Easy GRAPHS,Easy,Graphs Amazon Bloomberg,"Sample Easy GRAPHS Graphs Amazon Bloomberg Given input data, solve this Easy algorithm challenge for graphs. Easy"
prob-graphs-sample-medium-graphs,Sample Medium GRAPHS,Medium,Graphs Uber Intel,"Sample Medium GRAPHS Graphs Uber Intel Given input data, solve this Medium algorithm challenge for graphs. Medium"
prob-graphs-sample-hard-graphs,Sample Hard GRAPHS,Hard,Graphs Square Goldman Sachs Meta,"Sample Hard GRAPHS Graphs Square Goldman Sachs Meta Given input data, solve this Hard algorithm challenge for graphs. Hard"
prob-recursion-sample-easy-recursion,Sample Easy RECURSION,Easy,Recursion Intel Amazon Cisco,"Sample Easy RECURSION Recursion Intel Amazon Cisco Given input data, solve this Easy algorithm challenge for recursion. Easy"
prob-recursion-sample-medium-recursion,Sample Medium RECURSION,Medium,Recursion Meta,"Sample Medium RECURSION Recursion Meta Given input data, solve this Medium algorithm challenge for recursion. Medium"
prob-recursion-sample-hard-recursion,Sample Hard RECURSION,Hard,Recursion Square,"Sample Hard RECURSION Recursion Square Given input data, solve this Hard algorithm challenge for recursion. Hard"
prob-backtracking-sample-easy-backtracking,Sample Easy BACKTRACKING,Easy,Backtracking ByteDance Uber,"Sample Easy BACKTRACKING Backtracking ByteDance Uber Given input data, solve this Easy algorithm challenge for backtracking. Easy"
prob-backtracking-sample-medium-backtracking,Sample Medium BACKTRACKING,Medium,Backtracking Microsoft Salesforce Goldman Sachs,"Sample Medium BACKTRACKING Backtracking Microsoft Salesforce Goldman Sachs Given input data, solve this Medium algorithm challenge for backtracking. Medium"
